device_id,component_name,co2_emitted,global_warming_pct
45,MAIN B'D,28.9428,81.3
45,Others,0.6408,1.8
45,SPK (Speaker),0.2492,0.7
45,SUB B'D,0.7832,2.2
46,Battery,0.89,2.5
46,CAM - Ultra Wide,0.7476,2.1
46,CTC FPCB,0.0356,0.1
46,DLC,0.356,1.0
46,Display,2.4564,6.9
46,Front Case,0.178,0.5
46,MAIN B'D,29.7972,83.7
46,Others,0.4272,1.2
46,SUB IF B'D,0.6052,1.7
46,UNIT BOX,0.1068,0.3
