PartNo,Description,Logic,Category
GH81-14257A,"A/S TAPE-BACK GLASS OUT;SM-A320F,ANYONE"
GH81-13701A,"A/S-TAPE BG ISLAND_EUR;SM-G930F,WP 3820,"
GH02-11836A,GRAPHITE THERMAL SHEET-TAPE_CU
GH81-14352A,"A/S-SVC TAPE BACK GLASS IN;SM-A520F,ANYO"
GH98-32941A,ASSY COVER-IF_4G
GH81-14258A,"A/S TAPE-BACK GLASS ISLAND;SM-A320F,ANYO"
GH39-01858A,CBF COAXIAL CABLE-97MM (SM-G935F)
GH81-13534A,"A/S-TAPE_HR_BRACEKT_SVC;SM-A510F,PT-N802"
GH81-14422A,"A/S-TAPE_HR_SVC;SM-A520F,PT-N025DHD,SVC"
GH81-13602A,"A/S-TAPE HR_SVC;SM-A310F,PT-N012DC"
GH02-11588A,TAPE DOUBLE FACE-TOP
GH02-11593A,TAPE DOUBLE FACE-BTM
GH02-11935A,TAPE DOUBLE FACE-MAIN WINDOW  TOP
GH02-11936A,TAPE DOUBLE FACE-MAIN WINDOW BTM
GH98-37692B,ASSY SIM TRAY-SINGLE
GH82-10336B,SVC COVER ASSY-BACK GLASS_EUR(MADE IN VI
GH96-09079B,ASSY REAR UNIT-SM_G928F_EUR_ZK
GH98-38688A,ASSY CASE-FRONT
GH98-39052A,ASSY COVER-BATT (LTE/ZW)_SS
GH98-39054A,ASSY CASE-REAR (LTE/ZW)_SS
GH82-13345A,SVC CASE ASSY-FRONT(BLK)
GH96-08577A,ASSY SUB PBA-USB_VODAFONE (SM-G925F)
GH82-11384D,SVC COVER ASSY-BACK GLASS SVC EUR_ZW;SM-
GH98-39741A,ASSY COVER-BATT-LTE_SAM_ZD
GH96-07895A,ASSY SUB PBA-FPCB MODULE(SM-N910F)
GH98-37881A,ASSY BRACKET-LCD_BRACKET
GH39-01810A,DATA LINK CABLE-2.7PI / 1M / WHITE / WW
GH44-02762A,ADAPTOR-EP-TA50EWE
GH02-06663A,TAPE DOUBLE FACE-RCV
GH02-06733A,TAPE DOUBLE FACE-SPK
GH82-09387A,SVC PBA-PBA MAIN(COMM)SM_A500FU
GH97-16679A,SVC ASSY SMT-OCTA ASSY E(SVC/WHT)
GH43-04337B,"INNER BATTERY PACK-EB-BA500ABE,2300MAH"
GH98-35912A,ASSY BRACKET-FRONT
GH82-13348A,"SVC CASE ASSY-FRONT(SIL);SM-G930K,4574C;"
GH96-09789B,ASSY US FP-SM-G930F_V1 NC(SILVER)
