PartNo,Description,Logic,Category
GH39-02038A,"CBF COAXIAL CABLE-F907N,87.5MM,WHITE"
GH39-02052A,"CBF COAXIAL CABLE-A102D,99.0MM,RED"
GH39-02074A,"CBF COAXIAL CABLE-F916U,59.6MM, BLUE"
GH59-15209A,KEY FPCB-SM-G986U SIDE KEY ASSY
GH64-05760A,WINDOW DISPLAY-CAMERA
GH64-09016A,WINDOW DISPLAY-CAM WINDOW UW
GH81-17481A,SVC JDM-KEY FPCB_MAIN_SUB_A107F_SVC
GH81-18460A,"A/S-SPONGE VT CAM;SM-G988B,SS M030SD + T"
GH81-23283A,SVC JDM-TAPE BATTERY_SM-A146_SVC
GH82-12304A,"SVC PBA-PBA MAIN(SVC/COMM),SM-G389F;SM-G"
GH82-14985B,SVC COVER ASSY-B/G
GH82-18026A,"SVC PBA-MAIN(SVC/COMM);SM-J610FN/32D,ROM"
GH82-18493A,SVC COVER ASSY-B/G;COMM2_ZK_G970_DS_KR;S
GH82-18823A,"A/S REPAIR KIT-SVC;SM-G975,(RB)NORM KIT;"
GH82-22145D,"SVC ASSY SMT-OCTA (SVC/LB/PF),SM-G986"
GH82-23415B,SVC COVER ASSY-B/G_COMM1_XSG_ZW_M515
GH82-23908A,"A/S REPAIR KIT-SVC;SM-G986,BTS EDITION;S"
GH82-27904A,SVC PBA-MAIN(SVC/COMM)SM-X706B_128+8GB
GH82-28026A,"SVC LCD ASSY-OCTA KIT(E/ZK)SM-A536B,EUB"
GH82-28488A,"SVC ASSY SMT-OCTA(SVC/E/ZG)SM-M236B,EUE"
GH82-29131A,"SVC PBA-MAIN(COMM)SM-M135F_64/4,EUR"
GH82-31320D,"SVC ASSY SMT-OCTA(E/ZG/PF)SM-G781B,EUA,D"
GH96-12760A,ASSY SPEAKER-MODULE-BR (SM-T865)
GH96-15468A,"ASSY CAMERA-1/5"" 2M FF (A047F)"
GH97-18530A,"SVC ASSY SMT-OCTA,(E/BLK)"
GH97-22269F,"SVC ASSY SMT-OCTA(E/ZW/PF),SM-N960F,DBT"
GH97-24210E,MEA BACK GLASS-OPEN_ZA
GH98-33748B,ASSY COVER-BATT_EU(GRAY)
GH98-37511B,ASSY DECO-CAMERA_8M_ZW
GH98-43941B,ASSY KEY-SIDE POWER_ZS
GH98-44668C,ASSY KEY-INTEL KEY_ZS
GH98-45195A,ASSY KEY-VOLUME
GH98-45195B,ASSY KEY-VOLUME_ZS
GH98-45420B,ASSY SIM TRAY-ZB V2
GH98-45545D,ASSY CASE METAL-CAM DECO_ZC
GH98-45841A,ASSY SIM TRAY-SM-M515F
GH98-47739B,ASSY DECO-LOWER D BUCKLE_ZK
3710-004345,SOCKET-BOARD TO BOARD
BA31-00213A,"FAN-_L;VENUS2-15 ADL INT,SUS301,DC5V,400"
GH02-16246A,TAPE INSULATION-ZIP CONN LCD
GH02-16900A,TAPE DOUBLE FACE-MAIN WINDOW SMALL
GH02-19181A,TAPE DOUBLE FACE-T CONN TOP FRONT
GH02-22158A,TAPE PET-CAM WIDNOW V2
GH39-01963A,CBF COAXIAL CABLE-T595 SUB ANT WHITE
GH39-01967A,CBF COAXIAL CABLE-T835 WIFI2 97.9MM RED
GH39-02138A,"CBF COAXIAL CABLE-M336B,125.7MM,WHITE,C"
GH59-14436A,"KEY FPCB-SIDE (SM-T710_SM-T715);SM-T715,"
GH59-14929A,"MIC FPCB-SUB,SM-T595"
GH59-15066A,KEY FPCB-POGO FPCB ASSY
GH81-12071A,"AS-TAPE OCTA SVC;SM-G357M,3M-9295B"
GH81-17143A,SVC JDM-TAPE WATERPROOF_LABEL_SVC
GH81-19336A,A/S-REWORK_SPONGE VT CAM
GH81-20628A,A/S-TAPE SUPPORT BATTERY
GH82-10067A,"SVC PBA-PBA MAIN(COMM),SM-T561/M8;SVC;SM"
GH82-19587B,SVC COVER ASSY-B/G
GH82-21202C,"SVC ASSY SMT-OCTA(E/SS)SM-R830,SUS,SIL"
GH82-31328D,"SVC ASSY SMT-OCTA(E/ZG/PF)SM-G780F,11D"
GH82-31453C,"SVC ASSY SMT-OCTA(E/ZW/PF)N986B,EUA,NCAM"
GH96-08621B,ASSY US FP-ZW_SM-T815
GH96-11454A,"ASSY CAMERA-1/2.55""_12M(SM-G965U)"
GH96-12309A,"ASSY VT CAMERA-1/3.16""_10M,1/4""_8M_F900U"
GH96-12530A,ASSY SUB PBA-MIC MODULE
GH96-12800B,ASSY STYLUS PEN-SM-T865_BLUE
GH96-15470A,"ASSY CAMERA-BOKEH_2M FF 1/5""_SM-A047F"
GH96-15658E,ASSY STYLUS PEN-SM-S918_DOTCOM GRAY
GH97-20457F,"SVC ASSY SMT-OCTA,(E/GOLD)"
GH98-39803B,ASSY DECO-RCV_ZA
GH98-41131F,ASSY SIM TRAY-SINGLE_GOLD
GH98-41176A,ASSY RUBBER-MIC
GH98-43996A,ASSY DECO-CAMERA
GH98-44506B,ASSY SIM TRAY-DUAL_ZW
GH98-47979A,ASSY KEY-VOLUME_ZK
BA62-01090A,HEAT SINK
GH02-17405A,TAPE DOUBLE FACE-BACK GLASS CAM DECO
GH02-19159A,TAPE DOUBLE FACE-FRONT RCV WP
GH39-02059A,"CBF COAXIAL CABLE-G715FN,99.8MM,BLUE"
GH64-08284A,WINDOW DISPLAY-MAIN CAM
GH81-17559A,SVC JDM-ASSY R/KIT BATTEY TAPE KIT;SM-A1
GH81-23528A,SVC JDM-ETC_RECEIVER_SM-A145_SVC
GH82-17349A,"SVC SUB PBA-(SM-T595),SVC_ANT,COMM,BTU;S"
GH82-23969B,"SVC ASSY SMT-OCTA(SVC/E/ZN/PF)F916B,DBT"
GH82-24744A,"SVC LCD ASSY-OCTA KIT(SVC/ZK/PF)G996,EUX"
GH82-30475A,"SVC PBA-MAIN(COMM),SM-S916B_8+256GB,EUB"
GH96-08766A,"ASSY CAMERA-MODULE_8M CAM_1/4""_SM-T815"
GH96-12215B,ASSY US FP-SM_G970U (SILVER)
GH96-12328A,ASSY SPEAKER-BTM_SPK(SM-F900U)
GH96-12758A,ASSY SPEAKER-MODULE-TR (SM-T865)
GH98-37998B,ASSY BRACKET-LCD_ZW
GH98-44711A,ASSY COVER-POGO
GH98-44729A,ASSY BRACKET-VOL KEY BRK
GH98-45035B,ASSY KEY-VOLUME KEY
GH98-47260B,ASSY KEY-POWER_ZW
GH02-21307A,TAPE DOUBLE FACE-SUB BATTERY 5G
GH42-06893A,ANTENNA-SM-A136B_MAIN
GH64-08893A,WINDOW DISPLAY-CAM
GH81-16228A,"A/S TAPE-MODULE,SM-A750F"
GH82-23571B,SVC COVER ASSY-REAR_COMM 1_T875_ZS
GH96-12566A,ASSY SPEAKER-SM-A905F
GH97-15986B,MEA ETC-OCTA ASSY_ZA
GH98-36987B,ASSY COVER-CAMERA_8M_ZW
GH98-44889A,ASSY SIM TRAY-AL_WIFI_ZA
GH98-45098B,ASSY DECO-CAM_ZP
GH98-47403A,ASSY SIM TRAY-DUAL
BA98-03306A,ASSY CASE REAR-REAR_INT
GH02-23420A,TAPE SPONGE-SEALING SPK
GH39-01935A,"COAXIAL CABLE-SM-J530S,107.2MM,BLUE"
GH64-07801A,WINDOW DISPLAY-CAM WINDOW
GH81-19657A,SVC JDM-ETC_USB RUBBER_SM-T500_SVC
GH98-47400A,ASSY CASE-REAR_I GRADE
GH98-47414A,ASSY CASE-CAMERA
BA92-23489A,ASSY MOTHER BD-TOP_SVC
GH81-16792A,"A/S-SUB PCB SVC;SM-A405FN,SVC,SUB PCB"
GH97-25521A,MEA ANTENNA-MAIN_SM-F916 (OPEN);SM-F916B
GH98-38917B,ASSY SIM TRAY-DUAL_ZS
GH98-46261A,ASSY BRACKET-VT CAM
BA96-08380A,ASSY LCD SUBINS
GH98-44718B,ASSY SIM TRAY-AL_ZB
GH96-12749A,ASSY SUB PBA-SIM/SD FPCB (SM-T865)
GH96-14957A,"ASSY SPEAKER-BOTTOM RIGHT,SM-X706B"
GH98-45316A,ASSY CASE-POGO
GH96-15658B,ASSY STYLUS PEN-SM-S918_BEIGE / ZE
GH59-15616A,CON TO CON FPCB-TOP FRC FPCB_S916B
GH97-27170A,MEA REAR-TOP_OPEN
GH81-24081A,SVC JIG-WINDOW PRESS PAD;X916;1376496000
GH81-24069A,SVC JIG-WINDOW PRESS PAD;R950;1294438700
"GH82-31516A""","A/S REPAIR KIT-OLED(COMM),SM-A546;SM-A54"
GH02-24359A,TAPE GRAPHITE-FRONT
GH02-24348A,TAPE SPONGE-MAIN UB BTM 1ST
GH02-24477A,TAPE SPONGE-GREASE PU (NON-WOVEN)
GH81-23795A,SVC JIG-UB_SPOT UV CURING V2
0201-003812,ADHESIVE-STR
GH81-23920A,A/S-TAPE MAIN WINDOW
GH81-23921A,A/S-TAPE MID BTM
GH81-23922A,A/S-TAPE MID TOP
GH82-31921A,"A/S REPAIR KIT-TAB S9, WATERPROOF TEST;S"
GH81-24282A,SVC JIG-UB_VACUUM HANDLER
GH82-31854A,A/S REPAIR KIT-TAPE SUB BATT(COMM)F946
GH98-38690B,ASSY COVER-BATT
GH82-17761A,SVC PBA-MAIN(SVC/COMM)
GH63-10283A,COVER CASE-GLASS BACK (GLOBAL/SM-G925F)
GH64-06815A,DECORATION-SIM TRAY_HYBRID
GH64-06815D,DECORATION-SIM TRAY_HYBRID
GH82-23123A,"SVC PBA-MAIN (SVC/COMM), SM-A516B"
GH82-22338D,SVC COVER ASSY-B/G
GH81-23854A,A/S PROTECTOR FILM- MAIN UB SVC
GH81-23916A,A/S PROTECTOR FILM-MAIN UB FILM
GH82-31843A,"SVC ASSY SMT-OCTA(SVC/E/ZK/PF),SM-F946"
GH81-21984A,SVC JDM-TAPE_MIC_SM-X205_SVC
GH82-19267A,"SVC PBA-MAIN (HONG),SM-R500/4"
GH59-15487A,IF SUB PBA ASSY-SM-A225F
GH96-14116A,"ASSY LCD-6.5"" HD+ A125F BLK WO LO AG"
GH82-26925A,"SVC ASSY SMT-LCD(E/ZK)SM-A127M,GTO"
GH82-22084A,"SVC ASSY SMT-OCTA(SVC/ZW/PF),SM-A515F"
GH82-21191A,"SVC PBA-MAIN(SVC/COMM)SM-A507FN/64D,XXV;"
GH42-06381A,"ANTENNA-SUB,SM-N971N"
GH82-30344B,"SVC LCD ASSY-OCTA KIT(E/LV/PF)F721B,(H),"
GH96-14953E,ASSY METAL FRONT UNIT-EUR_ZA/LB/ZR
GH98-48166A,ASSY DECO-UPPER D BUCKLE
GH82-31289A,"SVC PBA-MAIN(SVC/COMM),SM-A546B_128_8"
GH98-48388A,ASSY STRAP-HYBRID HOLE SMALL_ZK
GH98-48387A,ASSY STRAP-HYBRID BUCKLE SMALL_ZK
GH98-48369A,ASSY RUBBER-UB SEALING
GH82-31328B,"SVC ASSY SMT-OCTA(E/ZW/PF)SM-G780F,11D"
GH81-23901A,A/S-TAPE MAIN WINDOW WP SVC
GH59-15664A,LCD FPCB-OCTA FPCB_X716B
GH82-31699A,"SVC BATT ASSY-SUB,EB-BF733ABY,30,F731, S"
GH82-23092A,"SVC PBA-MAIN(COMM)SM-A217F/DS,M64,4GB"
GH98-47547A,ASSY CASE METAL-HINGE HOUSING_ZA
GH02-25293A,TAPE DOUBLE FACE-BACK COVER RIGHT
GH82-26861C ,"SVC ASSY SMT-OCTA(E/LV)SM-A528B,EUA"
GH82-31801A,SVC COVER ASSY-REAR_R930_ZK_COMM1_VN
GH39-02134A,DATA LINK CABLE-EP-DR140AWE
GH96-15803A,ASSY SPEAKER-SPK-BOT_A546B
GH98-48374A,ASSY RUBBER-UB SEALING
GH98-48356B,ASSY STRAP-RUBBER HOLE_SM_CREAM
GH98-48355B,ASSY STRAP-RUBBER BUCKLE_CREAM
GH81-24070A,SVC JIG-WINDOW PRESS PAD
 GH44-03069A,
GH82-20447B,SVC COVER ASSY-B/G;AU_ZA_G977_KR;SM-G977
GH96-14088A,ASSY METAL FRONT UNIT-SUB_ZA
GH82-31914A,"SVC ASSY SMT-OCTA(E/ZA),SM-X916"
GH82-31915A,"SVC BATT ASSY-EB-BX916ABY,10880,30,X916"
GH82-31676A,SVC COVER ASSY-REAR_X910_ZA_UKCA
GH82-31965A,"SVC SUB PBA-USB(IF) PBA,SM-X910"
GH82-31964A,"SVC PBA-MAIN(COMM),SM-X910,12+256GB"
GH96-16090A,ASSY VT CAMERA-12M FF 1/3.4_X916B
GH96-16092A,ASSY CAMERA-13M 1/3.4_X916B
GH96-16091A,ASSY CAMERA-8M 1/4.4_X916B
GH82-32276A,"A/S REPAIR KIT-OCTA(COMM),SM-X916;SM-X91"
GH98-48534A,ASSY SIM TRAY-WIFI_ZA
GH82-31902A,"SVC ASSY SMT-OCTA(E/ZA),SM-X818"
GH82-31907A,"SVC BATT ASSY-EB-BX818ABY,9800,30,X818"
GH82-31923A,SVC COVER ASSY-REAR_X810_ZA_UKCA
GH82-31960A,"SVC SUB PBA-USB(IF) PBA,SM-X810;SM-X810"
GH82-31911A,"SVC PBA-MAIN(COMM),SM-X916,12+256GB"
GH82-31912A,"SVC SUB PBA-USB(IF) PBA,SM-X916"
GH82-31769A,"SVC ASSY SMT-OCTA(E/ZA),SM-X716"
GH82-31774A,"SVC BATT ASSY-EB-BX716ABY,8400,30,X716"
GH82-31679A,SVC COVER ASSY-REAR_X710_ZA_UKCA
GH82-31952A,"SVC SUB PBA-USB(IF) PBA,SM-X710"
GH82-31957A,"SVC SUB PBA-USB(IF) PBA,SM-X816"
GH82-31766A,"SVC SUB PBA-USB(IF) PBA,SM-X716"
GH82-31959A,"SVC PBA-MAIN(COMM),SM-X810,256GB"
GH82-31956A,"SVC PBA-MAIN(COMM),SM-X816,256GB"
GH82-31951A,"SVC PBA-MAIN(COMM),SM-X710,8+128GB"
GH82-31765A,"SVC PBA-MAIN(COMM),SM-X716,8+128GB"
GH96-16036A,ASSY VT CAMERA-12M(UW)_X716
GH96-16037A,ASSY CAMERA-13M AF MAIN MODULE_X818U
GH96-16035A,ASSY CAMERA-MAIN_13M(WIDE)_X716
GH96-16034A,ASSY CAMERA-8M FF MAIN CAMERA MODULE
GH98-48334A,ASSY SIM TRAY-SUB6_ZA
GH82-32913A,"A/S REPAIR KIT-HINGE,SM-F721B"
GH82-32912A,"A/S REPAIR KIT-DISPLAY,SM-F721B"
GH82-32045A,"SVC EWP SET-SM-F946BLBCEUB,NOIMEI"
GH81-23548A,A/S-SVC TAPE MAIN WINDOW
GH98-48071A,ASSY DECO-CAMERA_ZK
GH02-24727A,TAPE DOUBLE FACE-WP CAM DECO
GH02-23905A,TAPE DOUBLE FACE-CAM DECO SUB
GH02-24149A,TAPE DOUBLE FACE-CAM DECO MAIN
0201-003928,ADHESIVE-UV
GH82-26286A,SVC LCD ASSY-OCTA KIT(SVC/E/ZK/PF)F9260
GH82-32914A,"A/S REPAIR KIT-DISPLAY,SM-F926B"
GH97-28127A,MEA ANTENNA-TOP_A047F_NFC
GH98-47685A,ASSY DECO-MAIN
GH98-47686A ,ASSY DECO-SUB
GH02-24250A,TAPE DOUBLE FACE-DUST SHEET
GH67-05462A,RUBBER-DUST COVER_V4
GH64-08920A,DECORATION-P-CAP_Q2
GH81-23010A,A/S-TAPE MAIN UB SVC(Q4)
GH02-24249A ,TAPE DOUBLE FACE-PSA HINGE
GH82-31828E,"SVC ASSY SMT-OCTA(SVC/E/ZB,G,U,Y/PF)731B"
GH02-24249A,TAPE DOUBLE FACE-PSA HINGE
GH98-45903A,"ASSY BRACKET-REAR_MID (VE);SM-G988B,OPEN"
GH82-29394C,"A/S CH SET-SM-R510NLVAXAR(LEFT),SDI"
GH82-29396C,"A/S CH SET-SM-R510NLVAXAR(RIGHT),SDI"
GH81-24062A,SVC JIG-UB_F721 UB ALL1 PRESS PAD_CS V2
GH81-24063A,SVC JIG-UB_F721 UB ALL2 PRESS PAD_CS V2
GH81-24061A,SVC JIG-UB_F721 FRONT DECO PRESS PAD_V2
GH81-24747A,SVC JIG-UB_F936 MAIN UB L PRESS PAD_CS
GH81-24748A,SVC JIG-UB_F936 MAIN UB R PRESS PAD_CS
GH81-24749A,SVC JIG-UB_F936 FRONT DECO PRESS PAD_CS
GH81-24750A,SVC JIG-UB_F936_UB PRESS_CLAMPING BTM_CS
GH82-32918A,"A/S REPAIR KIT-HINGE,SM-F936B"
GH82-32917A,"A/S REPAIR KIT-DISPLAY,SM-F936B"
GH98-47804A,ASSY HINGE-MODULE PAIR
GH82-33006A,A/S ASSY-FKM BUCKLE STRAP CREAM
GH98-48616B,ASSY GLASS COVER-OPEN_ZE
GH64-08249C,WINDOW DISPLAY-WINDOW CAM_ZA
GH98-47547C,ASSY CASE METAL-HINGE HOUSING_ZD
"GH82-31208B	",
GH82-31208B,"SVC LCD ASSY-OCTA KIT(E/ZA/PF)G988B,CAM,"
GH98-38283B,ASSY SIM TRAY-ZW
GH82-31828C,"SVC ASSY SMT-OCTA(SVC/E/LI/PF)F731B, EUB"
GH82-20735B,SVC COVER ASSY-B/G
GH98-47547D,ASSY CASE METAL-HINGE HOUSING_LB
GH98-47547B,ASSY CASE METAL-HINGE HOUSING_LV
GH81-24764A,"SVC JIG-AFM;Z0000001-815764,SVC JIG"
GH39-02132A,DATA LINK CABLE-EP-DW767JWE
GH96-14088C,ASSY METAL FRONT UNIT-SUB_ZW
GH82-24692A,"SVC PBA-MAIN(SVC/COMM)SM-G991B_256GB,EUE"
GH82-33086D,SVC CASE ASSY-FRONT+BATT(E/LB)SM-F721W
GH82-26580D,SVC LCD ASSY-OCTA KIT(E/LV/PF)F711B
GH02-24371A,TAPE SPONGE-CREASE TOP
GH98-47547G,ASSY CASE METAL-HINGE HOUSING_AD
GH98-47547F,ASSY CASE METAL-HINGE HOUSING_ZS
BA96-08326C,ASSY LCD SUBINS
GH81-24721A,A/S-B2_REPAIR KIT-SUB UB
GH82-32950A,"SVC SCREEN ASSY-MAIN UB, SM-F946"
GH98-48526A,ASSY DECO-FRONT MAIN
GH98-48527A,ASSY DECO-FRONT SUB
GH81-23975A,A/S-Q5 TAPE MAIN UV WP_SVC
GH02-25384A,TAPE DOUBLE FACE-WING PLATE
GH67-05704A,RUBBER-DUST COVER
GH64-09179A,DECORATION-P-CAP
GH98-45123B,ASSY CASE METAL-FRONT_ZA
 GH96-13111A,
GH82-26580A,SVC LCD ASSY-OCTA KIT(E/ZK/PF)F711B
GH81-24754A,SVC JIG-UB_F946 MAIN UB ATTACH CS
GH81-24751A,SVC JIG-UB_F946 MAIN UB L PRESS PAD_CS
GH81-24752A,SVC JIG-UB_F946 MAIN UB R PRESS PAD_CS
GH81-24753A,SVC JIG-UB_F946 FRONT DECO PRESS PAD_CS
GH81-24755A,SVC JIG-UB_F946_UB PRESS_CLAMPING BTM_CS
GH81-24461A,SVC JIG-UB_F946 DECO CLAMPING JIG TOP
GH81-24459A,SVC JIG-UB_F946 DECO CAP ATTACH (REV);13
GH59-15621A,KEY FPCB-SM-S918B_SPEN DET FPCB
GH81-24600A,SVC JIG-UB_S711 MAIN UB ALL PRESS PAD_CS
GH82-26580B,SVC LCD ASSY-OCTA KIT(E/ZE/PF)F711B
GH82-29273A,SVC COVER ASSY-REAR_R920X_ZK_COMM LDU_VN
GH44-03169A,ADAPTOR-EP-TA865
GH81-17855D,SVC JIG-UB-NDW_CLEANING BRUSH(NOZZLE CLE
3710-004412,SOCKET-BOARD TO BOARD
BA98-03054E,ASSY RUBBER-FOOT_BACK
GH81-22521A,
GH81-22522A,A/S-TAPE SUB UB INNER L_CS
GH81-22523A,A/S-TAPE SUB UB INNER R_CS
GH81-22796A,A/S-TAPE BACK GLASS
GH63-21338A,PROTECTOR VINYL-MAIN UB FILM
GH81-24724A,"A/S-REPAIR KIT-OLED(COMM),SM-S918"
GH81-24723A,"A/S-REPAIR KIT-B/C(COMM),SM-S918"
GH98-47410B,ASSY CASE-REAR_M33_ZN
GH02-23706A,TAPE DOUBLE FACE-CAM DECO
GH81-24710A,SVC JIG-WINDOW PRESS PAD
GH81-24709A,SVC JIG-WINDOW PRESS PAD
GH82-31802A,SVC COVER ASSY-REAR_R935_ZK_COMM1_VN
GH97-24905B,MEA BACK COVER-A51-5G_ZW
GH81-24715A,"A/S-B4_REPAIR KIT,B/C(COMM)"
GH81-24714A,A/S-B4_REPAIR KIT-SUB UB(COMM)
GH02-25254A,TAPE DOUBLE FACE-MAIN BATTERY
GH96-16008A,ASSY SUB PBA-USB_SM-F946B
GH42-06995A,ANTENNA-MAIN_SM-F946
GH81-24680A,"A/S-B5_REPAIR KIT,SUB UB(COMM)"
GH81-24681A,"A/S-B5_REPAIR KIT,B/C(COMM)"
GH98-45478A,ASSY DECO-CAM_ZK
GH81-25071A,SVC JIG-UB_BONDING DUMMY JIG_FLIP
GH81-25072A,SVC JIG-UB_BONDING DUMMY JIG_FOLD
GH81-25073A,SVC JIG-UB_BONDING GUIDE_BED_NEW
GH81-25074A,SVC JIG-UB_BONDING GUIDE_BED_NEW_L
GH81-25075A,SVC JIG-UB_LINEAR JIG GUIDE_NEW
GH63-18934A ,PROTECTOR VINYL-ALL IN ONE_COMMON
GH63-19378A ,PROTECTOR VINYL-TPU FILM V3
GH81-22936A ,"SVC JIG-UB_DY-160;M002610377,SVC JIG"
GH82-30043B,"SVC ASSY SMT-OCTA(SVC/E/ZB)SM-R915,OPEN"
GH81-24613A,"A/S-Q5_REPAIR KIT,SUB UB(COMM)"
GH81-24686A,A/S-Q5_REPAIR KIT-B/C(COMM)
GH82-20234B,SVC COVER ASSY-REAR
GH82-30486A,"SVC CAM DECO ASSY-SM-S911,ZK;SM-S911B"
GH82-31312D,"SVC FRONT MODULE-FRONT(COM/LV),SM-A346"
GH82-31312A,"SVC FRONT MODULE-FRONT(COM/ZK),SM-A346"
GH96-14283B,ASSY METAL FRONT UNIT-SUB_USA_ZS
6001-003410,SCREW-MACHINE
GH97-27195C,MEA BACK GLASS-COMMON(UKCA)(S906B/DS)_ZG
GH81-23277A,SVC JDM-ETC_SCREW_M1.4X3.5_SM-A146
6001-003442,SCREW-MACHINE
6001-003443,SCREW-MACHINE
6001-003366,"SCREW-MACHINE;SWRCH18A,ZPC(BLK),L2.5,M1."
GH98-48068D,ASSY CASE-FRONT SUB_VIOLET
GH81-19182A,SVC JDM BATT-SCUD-WT-N6_4000_SM-A215
GH82-30462A,"SVC CAM DECO ASSY-SM-S918,ZK"
GH82-30462C,"SVC CAM DECO ASSY-SM-S918,ZG"
GH82-30462D,"SVC CAM DECO ASSY-SM-S918,LI"
GH82-30462B,"SVC CAM DECO ASSY-SM-S918,ZE"
GH81-23299A,SVC JDM-FINGERPRINT_ SM-A146_ZK_SVC
GH97-28438A,MEA ANTENNA-MID
GH82-30473A,"SVC CAM DECO ASSY-SM-S916,ZK"
GH82-30486B,"SVC CAM DECO ASSY-SM-S911,ZE"
GH97-28468A,MEA REAR-TOP_S918B
GH82-30473C,"SVC CAM DECO ASSY-SM-S916,ZG"
GH82-30473B,"SVC CAM DECO ASSY-SM-S916,ZE"
GH82-30473D,"SVC CAM DECO ASSY-SM-S916,LI"
GH82-29698A,"SVC CAM DECO ASSY-SM-F936,ZK"
GH98-46827C,ASSY DECO-CAM_ZS
6002-001676,SCREW-TAPPING
GH96-14941A,ASSY US FP-KEY FPCB_SM-X706B
GH98-47127C,ASSY DECO-CAM_SILVER
GH96-15335A,ASSY US FP-SM_F936U FPM(BLACK)
GH96-14477C,ASSY US FP-FINGER_POWER KEY FPCB_ZS_F926
GH96-14243A,"ASSY VT CAMERA-5M,SM-A022F"
GH98-47086G,ASSY SIM TRAY-DUAL_LV
GH98-47112A,ASSY DECO-CAM_ZK
GH98-47028A,ASSY DECO-CAMERA
GH98-47112B,ASSY DECO-CAM_ZW
GH98-47222A,ASSY BRACKET-FRONT_USA
GH98-46772D,ASSY DECO-CAM_LV
GH98-46772A,ASSY DECO-CAM_ZA
6001-003439,SCREW-MACHINE
6001-003463,SCREW-MACHINE
GH98-44605A,ASSY DECO-MAGNET FRONT
GH81-23272A,SVC JDM-ETC_NFC_SM-A146
GH59-15534A,ASSY MIC PBA-SUB_SM-X906B
GH02-24164A,TAPE DOUBLE FACE-BATTERY
GH98-47881A,ASSY BRACKET-FINGER BRK_V2
GH02-23864A,TAPE DOUBLE FACE-BATTERY
GH98-46771C,ASSY KEY-VOLUME_LG
GH81-14747A,A/S-DOBLE SIDE TAPE(MOTOR)
GH81-21648A,SVC JDM-ETC_SUB PBA USB RUBBER_SM-A035
6001-001478,"SCREW-MACHINE;PH,+,M1.4,L3,ZPC(BLK),SWRC"
GH39-01872A,CBF COAXIAL CABLE-27MM (SM-C5000)
GH81-20680A,SVC JDM-CABLE_COXIAL_SM-T225_SVC
GH81-21651A,SVC JDM-CABLE COAXIAL_EU_SM-A035_SVC
GH81-19326A,A/S-SM-T976B MIC SVC TAPE
GH98-47028D,ASSY DECO-CAMERA_ID
GH98-47028B,ASSY DECO-CAMERA_ZW
GH97-28752A,MEA REAR-INNER TOP
GH81-24922A,SVC JIG-UB_S921 ASSY UB ALL PRESS_CS_V1
GH81-24923A,SVC JIG-UB_S926 ASSY UB ALL PRESS_CS_V1
GH81-24924A,SVC JIG-UB_S928 ASSY UB ALL PRESS_CS_V1
GH81-22937A,SVC JIG-UB_MANUAL POS(DY-160);M002610376
GH81-22902A,SVC JIG-MAIN UB ATTACH JIG(B2);135716280
GH81-23111A,SVC JIG-MAIN UB ATTACH JIG_F926;13611466
GH81-21123A,SVC JIG-BONDING GUIDE_BED;SVC JIG
BA96-08532A,ASSY LCD SUBINS
 GH44-03035A,
GH59-15672A,CON TO CON FPCB-SUB CTC_SM-F946
GH81-25076A,SVC JIG-UB_UB TAPE JIG_MAGNET_F_V2
GH96-15270A,ASSY METAL FRONT UNIT-EUR_SVC_ZK
GH82-33304A,"A/S CH SET-SM-R510,VARTA,ZA,(LEFT)"
GH82-29818A,"SVC PBA-MAIN(TIWN/ZK)SM-R920,16G,BRI"
GH82-23342A,"SVC PBA-MAIN(COMM)SM-N985F_256+8GB,EUX"
GH59-15345A,CON TO CON FPCB-C2_SEA_XSA_SM-N986B
GH02-16078A,TAPE CONDUCTIVE-CU SHEET SENSOR
 GH97-27953A,
GH82-29708A,"SVC PBA-MAIN(COMM)F936B/1TB_12GB_EUR,EUB"
GH82-31320B,"SVC ASSY SMT-OCTA(E/ZW/PF)SM-G781B,EUA,D"
GH82-30345B,"SVC LCD ASSY-OCTA KIT(E/LV/PF)F721U,(H),"
GH98-47686A,ASSY DECO-SUB
GH82-25943A,"SVC PBA-MAIN(COMM)SM-A225F_64/4GB,SER"
GH82-33081B,"SVC FRONT MODULE-FRAME ASSY(E/ZA),F936"
GH82-33081A,"SVC FRONT MODULE-FRAME ASSY(E/ZK),F936"
GH98-46652A,ASSY CASE-REAR-I GRADE
GH82-25959A,SVC COVER ASSY-B/C_A225F/DSN_ZK_COMM1
GH81-23783A,SVC JIG-DUST REMOVE TAPE_VER2
GH82-33305A,"A/S CH SET-SM-R510,VARTA,ZA,(RIGHT)"
GH02-24226A,TAPE GASKET-SWEEPER-FRONT
GH98-47663*,
GH98-47663,
GH82-33783A,"SVC SCREEN ASSY-OLED 6.8WQHD+,GG,S918,V2"
GH02-22851A,TAPE DOUBLE FACE-UB SIDE
GH02-22850A,TAPE SPONGE-SPONGE DUST SHEET
GH67-05112A,RUBBER-DUST COVER
GH64-08560A,DECORATION-HOUSING CAP MIM
GH81-22986A,A/S-TAPE MAIN UB
GH98-46778A,ASSY DECO-FRONT MAIN
GH98-46779A ,ASSY DECO-FRONT SUB
GH02-24459A,TAPE GRAPHITE-MAIN UB SR H-CFD
GH98-45744A,
GH98-46826A,ASSY DECO-FRONT_MAIN
GH98-46825A,ASSY DECO-FRONT_SUB
